,rowID,abv,ibu,id,brewery_id,ounces
count,2410.0,2348.0,1405.0,2410.0,2410.0,2410.0
mean,1204.5,0.05977342419080067,42.71316725978647,1431.1132780082987,231.74979253112033,13.592240663900414
std,695.8513969711254,0.013541733716680264,25.954065911259317,752.4599745599074,157.68560410041619,2.3522036778603734
min,0.0,0.001,4.0,1.0,0.0,8.4
25%,602.25,0.05,21.0,808.25,93.0,12.0
50%,1204.5,0.056,35.0,1453.5,205.0,12.0
75%,1806.75,0.067,64.0,2075.75,366.0,16.0
max,2409.0,0.128,138.0,2692.0,557.0,32.0
